playlist_name,playlist_id,playlist_uri,owner,tracks_count
Top Picks Travel,4NAi06Izmj4CPqmMuY1RsE,spotify:playlist:4NAi06Izmj4CPqmMuY1RsE,Spotify,20
Top Picks holiday,4uLnCAHJw65SyFXXmBSuc0,spotify:playlist:4uLnCAHJw65SyFXXmBSuc0,Spotify,20
Undiscovered bands,2ZMfoURN2ZwapN17Yb5d1k,spotify:playlist:2ZMfoURN2ZwapN17Yb5d1k,franke!,937
Women of Sweden,2EaYMuzaVSdPjJOqg77E2E,spotify:playlist:2EaYMuzaVSdPjJOqg77E2E,Spotify,100
Kvinnor att ha koll på 2014,1m6DKwKNM1YLcm3OX6RzJg,spotify:playlist:1m6DKwKNM1YLcm3OX6RzJg,Spotify,63
38 Great Female Duets,1xAmEtLT8c17IisGUa1f4M,spotify:playlist:1xAmEtLT8c17IisGUa1f4M,Spotify,38
Best of Boybands and Girl Groups,7oTMBMLu6EI4l163C9fkhg,spotify:playlist:7oTMBMLu6EI4l163C9fkhg,Spotify,41
Johnossi,5MkJ5KSzz4wmCpIFvM6pFT,spotify:playlist:5MkJ5KSzz4wmCpIFvM6pFT,Spotify,10
Håkan Hellström,2CTBt2glXb1wEzUa6wCbWU,spotify:playlist:2CTBt2glXb1wEzUa6wCbWU,Spotify,10
Rodriguez,52JrW4dL2mDe1Dneq0vH1I,spotify:playlist:52JrW4dL2mDe1Dneq0vH1I,Spotify,10
Of Monsters and Men,4pL8YJw0ts5YcpxEgl1LiL,spotify:playlist:4pL8YJw0ts5YcpxEgl1LiL,Spotify,10
Alicia Keys,3zxOlGe8vWwQA8eLRXBqTY,spotify:playlist:3zxOlGe8vWwQA8eLRXBqTY,Spotify,10
Daniel Adams-Ray,6c51ZkUk7wO3Icy2sW3jvA,spotify:playlist:6c51ZkUk7wO3Icy2sW3jvA,Spotify,10
Kendrick Lamar,4lwqQxljF1Rge3X4eMzdza,spotify:playlist:4lwqQxljF1Rge3X4eMzdza,Spotify,10
Disclosure,5grxWts6M4gvPZFrWSNOBl,spotify:playlist:5grxWts6M4gvPZFrWSNOBl,Spotify,10
Miguel,67zOV0qxT0TT8JEHZDCBDd,spotify:playlist:67zOV0qxT0TT8JEHZDCBDd,Spotify,10
Welcome Home,0LqjAibgbS9ep32zZrDcAN,spotify:playlist:0LqjAibgbS9ep32zZrDcAN,Spotify,70
Kids B-day Party,6PzNMpCPMDMo1pOUjNhDUC,spotify:playlist:6PzNMpCPMDMo1pOUjNhDUC,Spotify,45
Walk The Dog,2mADaSxlIcxRDSG9e9vLlh,spotify:playlist:2mADaSxlIcxRDSG9e9vLlh,Spotify,35
Tagga För OS,0uZg7go8TKu5hpv1L6CJ4y,spotify:playlist:0uZg7go8TKu5hpv1L6CJ4y,Spotify,51
Commuter Flow (That Fire For Your Aux Cord),5wPUMOWXlhmk9XmGO4RtKz,spotify:playlist:5wPUMOWXlhmk9XmGO4RtKz,Spotify,40
Annorlunda Kärlekslåtar,1cddSHoeIrE3m0i8TqYNbn,spotify:playlist:1cddSHoeIrE3m0i8TqYNbn,Spotify,75
Fuck Valentine!,5Dn14a8hNIhT3NLLjUUBGL,spotify:playlist:5Dn14a8hNIhT3NLLjUUBGL,Spotify,74
Valentine anger,1apRF10Iufr0NBBiF1u7E5,spotify:playlist:1apRF10Iufr0NBBiF1u7E5,Spotify,38
Det är så tråkigt och trist utan dig,7qeSmszUjRBWOwHzlxfEXt,spotify:playlist:7qeSmszUjRBWOwHzlxfEXt,Spotify,26
Inget är större än KÄRLEKEN,2PMlGn5a2jxukdhCYQyQvG,spotify:playlist:2PMlGn5a2jxukdhCYQyQvG,Spotify,23
Folk & Rock 200 favoriter,3cC0Hnr7idCemR4JxOh2lI,spotify:playlist:3cC0Hnr7idCemR4JxOh2lI,Spotify,200
The Critics Choice 2012,24HEIuw8etbkitpDCxZ1dQ,spotify:playlist:24HEIuw8etbkitpDCxZ1dQ,Spotify,61
EM Fotboll 2012,0NYlvGXveeyvhb5G80LPtA,spotify:playlist:0NYlvGXveeyvhb5G80LPtA,Spotify,33
Way Out West 2013,2IBmQa3jJULanJldYav1jW,spotify:playlist:2IBmQa3jJULanJldYav1jW,Spotify,18
Sweden Rock 2013,3PNltrHQaYdqO0FdTAZ3wB,spotify:playlist:3PNltrHQaYdqO0FdTAZ3wB,Spotify,60
